Periode;Data Inflasi;;
Juli 2025;2.37 %;;
Juni 2025;1.87 %;;
Mei 2025;1.6 %;;
April 2025;1.95 %;;
Maret 2025;1.03 %;;
Februari 2025;-0.09 %;;
Januari 2025;0.76 %;;
Desember 2024;1.57 %;;
November 2024;1.55 %;;
Oktober 2024;1.71 %;;
September 2024;1.84 %;;
Agustus 2024;2.12 %;;
Juli 2024;2.13 %;;
Juni 2024;2.51 %;;
Mei 2024;2.84 %;;
April 2024;3 %;;
Maret 2024;3.05 %;;
Februari 2024;2.75 %;;
Januari 2024;2.57 %;;
Desember 2023;2.61 %;;
November 2023;2.86 %;;
Oktober 2023;2.56 %;;
September 2023;2.28 %;;
Agustus 2023;3.27 %;;
Juli 2023;3.08 %;;
Juni 2023;3.52 %;;
Mei 2023;4 %;;
April 2023;4.33 %;;
Maret 2023;4.97 %;;
Februari 2023;5.47 %;;
Januari 2023;5.28 %;;
Desember 2022;5.51 %;;
November 2022;5.42 %;;
Oktober 2022;5.71 %;;
September 2022;5.95 %;;
Agustus 2022;4.69 %;;
Juli 2022;4.94 %;;
Juni 2022;4.35 %;;
Mei 2022;3.55 %;;
April 2022;3.47 %;;
Maret 2022;2.64 %;;
Februari 2022;2.06 %;;
Januari 2022;2.18 %;;
Desember 2021;1.87 %;;
November 2021;1.75 %;;
Oktober 2021;1.66 %;;
September 2021;1.6 %;;
Agustus 2021;1.59 %;;
Juli 2021;1.52 %;;
Juni 2021;1.33 %;;
Mei 2021;1.68 %;;
April 2021;1.42 %;;
Maret 2021;1.37 %;;
Februari 2021;1.38 %;;
Januari 2021;1.55 %;;
